participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match,A_z,B_z,gsr_diff_z,ambig_minus_discrete_z,gsr_choice,gsr_match_z,participant_gsr_mean,participant_gsr_std
20260501_003029_4,3,True,4,DIST_DIST,scream,scary,audio/scream_90.wav,audio/scream_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,3.560975609756042,5.243902439024396,B,0.0,-0.6906573504773673,0.15486425488469208,-0.8455216053620593,,B,0.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,6,AMBIG_AMBIG,bear,scary,audio/bear_315.wav,audio/bear_45.wav,A,315,45,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,8.29268292682923,8.29268292682923,B,0.0,1.6866062935839972,1.6866062935839972,0.0,0.0,B,0.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,7,DIST_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,6.024390243902417,6.024390243902417,B,0.0,0.5469902167917059,0.5469902167917059,0.0,,B,0.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,8,AMBIG_DIST,scream,scary,audio/scream_90.wav,audio/scream_45.wav,B,90,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,4.829268292682855,4.829268292682855,B,1.0,-0.053452662378455466,-0.053452662378455466,0.0,0.0,B,1.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,10,AMBIG_DIST,bear,scary,audio/bear_90.wav,audio/bear_180.wav,B,90,180,discrete,ambiguous,AMBIG_DIST,True,B,180,1,4.658536585365937,4.658536585365937,B,1.0,-0.1392302165455398,-0.1392302165455398,0.0,0.0,B,1.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,12,AMBIG_AMBIG,zombie,scary,audio/zombie_45.wav,audio/zombie_315.wav,B,45,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,4.512195121951208,4.512195121951208,B,1.0,-0.21275383440315487,-0.21275383440315487,0.0,0.0,B,1.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,14,AMBIG_DIST,bear,scary,audio/bear_225.wav,audio/bear_90.wav,A,225,90,ambiguous,discrete,AMBIG_DIST,True,A,225,1,7.2926829268292295,7.2926829268292295,B,0.0,1.1841949048906177,1.1841949048906177,0.0,0.0,B,0.0,4.935660511452954,1.9904007403190016
20260501_035555_5,4,True,1,PRIMING,mixed,other,audio/zombie_315.wav,audio/scream_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,4.390243902439124,4.390243902439124,B,0.0,0.38835196151755375,0.38835196151755375,0.0,0.0,B,0.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,3,AMBIG_AMBIG,zombie,scary,audio/zombie_315.wav,audio/zombie_180.wav,A,315,180,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,3.878048780487916,3.878048780487916,B,0.0,-0.12258820953916733,-0.12258820953916733,0.0,0.0,B,0.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,4,AMBIG_AMBIG,bear,scary,audio/bear_225.wav,audio/bear_315.wav,B,225,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,3.390243902439124,3.390243902439124,B,1.0,-0.6091978962598756,-0.6091978962598756,0.0,0.0,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,5,DIST_DIST,scream,scary,audio/scream_270.wav,audio/scream_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,3.658536585365937,3.658536585365937,B,0.0,-0.34156256856350875,-0.34156256856350875,0.0,,B,0.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,6,DIST_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_270.wav,B,90,270,discrete,discrete,DIST_DIST,True,B,270,0,4.560975609756042,4.560975609756042,B,1.0,0.558665351869643,0.558665351869643,0.0,,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,7,AMBIG_DIST,scream,scary,audio/scream_270.wav,audio/scream_315.wav,B,270,315,discrete,ambiguous,AMBIG_DIST,True,B,315,1,1.7317073170731874,4.341463414634063,B,1.0,-2.2636708311103293,0.33969099284530146,-2.603361823955631,2.603361823955631,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,8,DIST_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,3.4878048780487916,3.4878048780487916,B,1.0,-0.5118759589158247,-0.5118759589158247,0.0,,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,9,AMBIG_AMBIG,white_noise,white_noise,audio/white_noise_180.wav,audio/white_noise_0.wav,B,180,0,ambiguous,ambiguous,AMBIG_AMBIG,True,B,0,1,3.439024390243958,3.439024390243958,B,1.0,-0.5605369275878502,-0.5605369275878502,0.0,0.0,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,10,AMBIG_DIST,bear,scary,audio/bear_315.wav,audio/bear_270.wav,B,315,270,ambiguous,discrete,AMBIG_DIST,True,B,270,0,3.8292682926828547,3.8292682926828547,B,1.0,-0.1712491782114196,-0.1712491782114196,0.0,0.0,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,11,AMBIG_DIST,white_noise,white_noise,audio/white_noise_90.wav,audio/white_noise_180.wav,A,90,180,discrete,ambiguous,AMBIG_DIST,True,A,90,0,3.9024390243903326,2.2926829268292295,A,1.0,-0.0982577252031546,-1.704069691381583,1.6058119661784283,-1.6058119661784283,A,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,12,AMBIG_DIST,zombie,scary,audio/zombie_0.wav,audio/zombie_90.wav,B,0,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,6.195121951219562,6.195121951219562,B,1.0,2.188807802384084,2.188807802384084,0.0,0.0,B,1.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,13,AMBIG_DIST,scream,scary,audio/scream_315.wav,audio/scream_90.wav,A,315,90,ambiguous,discrete,AMBIG_DIST,True,A,315,1,5.463414634146375,5.463414634146375,B,0.0,1.4588932723030215,1.4588932723030215,0.0,0.0,B,0.0,4.000938086303965,1.0024561601642945
20260501_035555_5,4,True,14,AMBIG_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_225.wav,B,90,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,3.0731707317072505,4.097560975609667,B,1.0,-0.9254941926284949,0.0963861494849473,-1.0218803421134421,1.0218803421134421,B,1.0,4.000938086303965,1.0024561601642945
20260509_163714_6,5,True,1,PRIMING,mixed,other,audio/tiger_45.wav,audio/white_noise_45.wav,B,45,45,ambiguous,ambiguous,AMBIG_AMBIG,,B,45,1,1.3170731707318737,2.1951219512193347,B,1.0,-0.17695899110507,1.580927816773722,-1.757886807878792,-1.757886807878792,B,1.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/bear_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,2.26829268292704,2.26829268292704,B,0.0,1.727418384097789,1.727418384097789,0.0,0.0,B,0.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,3,AMBIG_AMBIG,zombie,scary,audio/zombie_45.wav,audio/zombie_225.wav,A,45,225,ambiguous,ambiguous,AMBIG_AMBIG,True,A,45,1,1.2314049586775582,1.2314049586775582,B,0.0,-0.3484699859056541,-0.3484699859056541,0.0,0.0,B,0.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,4,AMBIG_DIST,tiger,scary,audio/tiger_90.wav,audio/tiger_45.wav,B,90,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,1.1219512195120842,1.1219512195120842,B,1.0,-0.5676005039677319,-0.5676005039677319,0.0,0.0,B,1.0,1.4054626083450898,0.49949108017198535
